SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),880-882 S 20TH S #2,Newark City,NJ,07108-1127,305000,8,3.0,Newark City,2658,3920,1927,84,115,,Active,,,http://www.redfin.com/NJ/Newark/880-S-20th-St-07108/unit-2/home/173935662,GSMLS,3682882,N,Y,40.7260156,-74.2157654
MLS Listing,,Multi-Family (2-4 Unit),39-41 4th St,Newark,NJ,07107,450000,6,3.0,Newark,,3324,,84,,,Active,,,http://www.redfin.com/NJ/Newark/39-4th-St-07107/home/36374850,NJMLS,20051156,N,Y,40.7484242,-74.1907003
MLS Listing,,Multi-Family (2-4 Unit),5-7 Saint Charles St,Newark,NJ,07105,949000,6,4.5,Newark,,3515,,84,,,Active,,,http://www.redfin.com/NJ/Newark/5-St-Charles-St-07105/home/36268217,NJMLS,20051148,N,Y,40.729382,-74.146957
MLS Listing,,Multi-Family (2-4 Unit),425 S 16th St,Newark,NJ,07103,319000,5,2.0,Newark,,1999,,85,,,Active,,,http://www.redfin.com/NJ/Newark/425-S-16th-St-07103/home/36235390,NJMLS,20051062,N,Y,40.7414465,-74.2063077
MLS Listing,,Multi-Family (2-4 Unit),94-96 Lyons Ave,Newark,NJ,07112,469777,8,3.0,Newark,,4948,,85,,,Active,,,http://www.redfin.com/NJ/Newark/94-Lyons-Ave-07112/home/36288549,NJMLS,20051037,N,Y,40.7075817,-74.2098542
MLS Listing,,Multi-Family (2-4 Unit),107 Ferguson St,Newark,NJ,07105,474900,5,3.0,Newark,,1311,,85,,,Active,,,http://www.redfin.com/NJ/Newark/107-Ferguson-St-07105/home/36266774,NJMLS,20050970,N,Y,40.7288783,-74.1533448
MLS Listing,,Condo/Co-op,201 Dey St #108,Harrison,NJ,07029,460000,2,2.0,Harrison,,,,85,,,Active,,,http://www.redfin.com/NJ/Harrison/201-Dey-St-07029/unit-108/home/36430622,NJMLS,20050955,N,Y,40.7438508,-74.1640441
MLS Listing,,Multi-Family (2-4 Unit),37 S 8th St,Newark,NJ,07107,475000,0,,Newark,2558,2500,2006,87,186,,Active,,,http://www.redfin.com/NJ/Newark/37-S-8th-St-07107/home/36258984,CJMLS,2109646,N,Y,40.7493312,-74.1945183
MLS Listing,,Condo/Co-op,15-19 Tichenor Ln #407,Newark,NJ,07114,269900,3,2.0,Newark,1260,,,88,214,,Active,,,http://www.redfin.com/NJ/Newark/15-Tichenor-St-07102/unit-407/home/173899105,NJMLS,20050556,N,Y,40.7246827,-74.1776287
MLS Listing,,Condo/Co-op,15-19 TICHENOR Ln #407,Newark City,NJ,07114-2514,269900,3,2.0,Ironbound,,1306,2009,88,,275,Active,,,http://www.redfin.com/NJ/Newark-City/15-19-TICHENOR-LN-07114/unit-407/home/174003791,GSMLS,3681992,N,Y,40.722227,-74.178228
